PLAYER_1,PLAYER_2,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,MIN,OFF_RATING,DEF_RATING,NET_RATING,PACE,TS_PCT,FTA_RATE,TM_AST_PCT,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT_MR,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_FG3_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,SCORING_EDGE_WEIGHT
1629035,1630240,-1629035-1630240-,C. Edwards - S. Lee,1610612765,DET,29.2,93.3,121.3,-28,99.57,0.504,0.306,0.7,0.531,0.469,0.071,0.018,0.196,0.464,0.7,0.3,0.25,0.526,0.263,0.082,0.410958904
203085,1629008,-203085-1629008-,A. Rivers - M. Porter Jr.,1610612743,DEN,7.3,100,123.1,-23.1,81.82,0.5,0,0.8,0.667,0.333,0.167,0,0,0.333,0.8,0.2,0.333,0.667,0,0.231,0.410958904
2617,1630606,-2617-1630606-,U. Haslem - J. Smart,1610612748,MIA,22.4,75,129.2,-54.2,103.01,0.393,0.091,0.692,0.432,0.568,0.111,0.139,0.083,0.222,0.692,0.308,0.393,0.576,0.239,0.021,0.409836066
202709,1630691,-202709-1630691-,C. Joseph - J. Pickett,1610612765,DET,17.2,122.2,120,2.2,98.88,0.593,0.206,0.471,0.588,0.412,0.091,0.045,0.136,0.5,0.471,0.529,0.286,0.655,0.172,0.171,0.406976744
200765,1629731,-200765-1629731-,R. Rondo - D. Wade,1610612739,CLE,83.7,90.1,100.6,-10.5,98.41,0.455,0.309,0.704,0.584,0.416,0.078,0.071,0.208,0.442,0.704,0.296,0.296,0.477,0.242,0.122,0.406212664
202066,1626204,-202066-1626204-,G. Temple - L. Nance Jr.,1610612740,NOP,17.4,94.4,117.1,-22.7,97.74,0.517,0.063,0.714,0.469,0.531,0.176,0.147,0.029,0.353,0.714,0.286,0.5,0.69,0.103,0.229,0.402298851
1629656,1630579,-1629656-1630579-,Q. Grimes - J. Sims,1610612752,NYK,92.3,97.3,96.3,1,98.08,0.507,0.273,0.721,0.516,0.484,0.066,0.071,0.186,0.306,0.721,0.279,0.356,0.465,0.291,0.138,0.400866739
1627826,1630206,-1627826-1630206-,I. Zubac - J. Scrubb,1610612746,LAC,5,91.7,83.3,8.3,115.97,0.59,0.375,0.5,0.75,0.25,0.182,0,0.273,0.545,0.5,0.5,0,0.273,0.364,0.167,0.4
1629712,1630314,-1629712-1630314-,D. Louzada - B. Williams,1610612757,POR,37.8,70.2,106.1,-35.9,105.49,0.424,0.121,0.636,0.591,0.409,0.068,0.068,0.119,0.407,0.636,0.364,0.381,0.524,0.444,0.207,0.396825397
1629067,1630201,-1629067-1630201-,I. Bonga - M. Flynn,1610612761,TOR,28,68.7,121.9,-53.2,112.13,0.368,0.136,0.5,0.661,0.339,0.13,0.13,0.065,0.609,0.5,0.5,0.45,0.644,0.288,0.188,0.392857143
1628221,1630678,-1628221-1630678-,G. York - T. Taylor,1610612754,IND,15.3,116.7,110.8,5.9,114.34,0.678,0.333,0.438,0.704,0.296,0.048,0.214,0.167,0.571,0.438,0.563,0.417,0.717,0.391,0.27,0.392156863
203939,1627737,-203939-1627737-,D. Powell - M. Chriss,1610612742,DAL,5.1,108.3,130.8,-22.4,117.26,0.707,0.714,0,0.429,0.571,0,0.154,0.385,0.154,0,1,0,0.7,0.5,0.077,0.392156863
